study,title,condition.variable,condition.value,condition.name,condition.text,blurb,Exclude,Manipulation_includes_question_1yes_2outcome,Notes
ThorsonS42,Effects of Misinformation News Coverage on Media Trust,"P_THORSON_Q5_Q6, P_THORSON_A_B","2,1",DVs first,,,0,0,
ThorsonS42,Effects of Misinformation News Coverage on Media Trust,"P_THORSON_Q5_Q6, P_THORSON_A_B","2,2",DVs first,,,0,0,
ThorsonS42,Effects of Misinformation News Coverage on Media Trust,"P_THORSON_Q5_Q6, P_THORSON_A_B","1, 1","DVs second, misinformation, social media","Lately, there have been a lot of news stories about the spread of political misinformation on social media websites like Facebook and Twitter. How closely are you following news about this issue?

Participants see the following response options:
1.        Very closely
2.        Somewhat closely
3.        Not that closely
4.        Not at all closely

In your opinion, how much of a problem is the spread of political misinformation on social media like Facebook and Twitter?

Participants see the following response options:
1.        A very important problem
2.        A somewhat important problem 
3.        A minor problem
4.        Not a problem
",,0,1,
ThorsonS42,Effects of Misinformation News Coverage on Media Trust,"P_THORSON_Q5_Q6, P_THORSON_A_B","1, 2","DVs second, misinformation","Lately, there have been a lot of news stories about the spread of political misinformation. How closely are you following news about this issue?

Participants see the following response options:
1.        Very closely
2.        Somewhat closely
3.        Not that closely
4.        Not at all closely

In your opinion, how much of a problem is the spread of political misinformation?

Participants see the following response options:
1.        A very important problem
2.        A somewhat important problem 
3.        A minor problem
4.        Not a problem
",,0,1,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,1,"Male, Republican, Eric, Stay out","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Republican U.S. President, Eric Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Republican named Eric Smith.
•        Eric Smith says the United States will stay out of the conflict.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.
",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,"This study originally had 24 conditions but I took the first 12 conditions. Instead of a 3x2x2x2 design, we are using a 3x2x2 design and dropped the foreign leader's gender manipulation (i.e., the attacking country is always controlled by a male leader). I also set RND_02 and RND_03 to be at 0. These two variable randomly control whether to use Eric/Erica or Steven/Stephanie and 0 means that we are always using Eric/Erica for the name of the U.S. President."
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,2,"Male, Republican, Eric, Not engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Republican U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Republican named Eric Smith.
•        Eric Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.

",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,3,"Male, Republican, Eric, Engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Republican U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Republican named Eric Smith.
•        Eric Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does decide to send troops.
•        The attacking country gains 20% of the contested territory.
•        The U.S. experiences zero casualties.",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,4,"Male, Republican, Erica, Stay out","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Republican U.S. President, Erica Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Republican named Erica Smith.
•        Erica Smith says the United States will stay out of the conflict.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.
",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,5,"Male, Republican, Erica, Not engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Republican U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Republican named Erica Smith.
•        Erica Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.

",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,6,"Male, Republican, Erica, Engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Republican U.S. President, Erica Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Erica Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Republican named Erica Smith.
•        Erica Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does decide to send troops.
•        The attacking country gains 20% of the contested territory.
•        The U.S. experiences zero casualties.",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,7,"Male, Democrat, Eric, Stay out","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Democratic U.S. President, Eric Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Democrat named Eric Smith.
•        Eric Smith says the United States will stay out of the conflict.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.
",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,8,"Male, Democrat, Eric, Not engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Democratic U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Democrat named Eric Smith.
•        Eric Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.

",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,9,"Male, Democrat, Eric Engage","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Democratic U.S. President, Eric Smith, says that if the attack continues, the United States military will push out the invaders. The attacking country continues to invade. In the end, Eric Smith orders the military to engage. The attacking country gains 20% of the contested territory, and the U.S. experiences zero casualties. 

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Democrat named Eric Smith.
•        Eric Smith says that if the attack continues, the United States military will push out the invaders.
•        The attacking country continues to invade and Eric Smith does decide to send troops.
•        The attacking country gains 20% of the contested territory.
•        The U.S. experiences zero casualties.",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
Blair1131,Do Women Make More Credible Threats? Gender Stereotypes and Crisis Bargaining,BLAIR,10,"Male, Democrat, Erica, Stay out","A country sends its military to take over a neighboring country. The attacking country is controlled by a male leader.

The Democratic U.S. President, Erica Smith, says the United States will stay out of the conflict. The attacking country continues to invade. In the end, Erica Smith decides not to send troops, and the attacking country gains 20% of the contested territory.

To summarize:

•        The attacking country is led by a male leader.
•        The U.S. President is a Democrat named Erica Smith.
•        Erica Smith says the United States will stay out of the conflict.
•        The attacking country continues to invade and Eric Smith does not send troops.
•        The attacking country gains 20% of the contested territory.
",The following questions are about U.S. relations with other countries around the world. You will read about a situation our country has faced many times in the past and will probably face again. Different leaders have handled the situation in different ways. We will describe one approach U.S. leaders could take in the future and ask whether you approve or disapprove.,0,0,
