study,outcome.name,condition.name,hyp1,hyp2,hyp3,hyp4
Blair1131,Approve_Handling,"Male, Republican, Eric, Stay out",,,,
Blair1131,Approve_Handling,"Male, Republican, Eric, Not engage",0,,,
Blair1131,Approve_Handling,"Male, Republican, Eric, Engage",,0,,
Blair1131,Approve_Handling,"Male, Republican, Erica, Stay out",,,,
Blair1131,Approve_Handling,"Male, Republican, Erica, Not engage",1,,,
Blair1131,Approve_Handling,"Male, Republican, Erica, Engage",,1,,
Blair1131,Approve_Handling,"Male, Democrat, Eric, Stay out",,,,
Blair1131,Approve_Handling,"Male, Democrat, Eric, Not engage",0,,,
Blair1131,Approve_Handling,"Male, Democrat, Eric Engage",,0,,
Blair1131,Approve_Handling,"Male, Democrat, Erica, Stay out",,,,
Blair1131,Approve_Handling,"Male, Democrat, Erica, Not engage",1,,,
Blair1131,Approve_Handling,"Male, Democrat, Erica, Engage",,1,,
CalarcoS38,Approval,"HIGH STATUS, NO DRINKING, NO WARNING",0,0,,
CalarcoS38,Approval,"HIGH STATUS, NO DRINKING, WARNING",0,0,,
CalarcoS38,Approval,"HIGH STATUS, LIGHT DRINKING, NO WARNING",1,1,0,
CalarcoS38,Approval,"HIGH STATUS, LIGHT DRINKING, WARNING",1,1,0,
CalarcoS38,Approval,"HIGH STATUS, HEAVY DRINKING, NO WARNING",1,,,
CalarcoS38,Approval,"HIGH STATUS, HEAVY DRINKIG, WARNING",1,,,
CalarcoS38,Approval,"LOW STATUS, NO DRINKING, NO WARNING",0,0,,
CalarcoS38,Approval,"LOW STATUS, NO DRINKING, WARNING",0,0,,
CalarcoS38,Approval,"LOW STATUS, LIGHT DRINKING, NO WARNING",1,1,1,
CalarcoS38,Approval,"LOW STATUS, LIGHT DRINKING, WARNING",1,1,1,
CalarcoS38,Approval,"LOW STATUS, HEAVY DRINKING, NO WARNING",1,,,
CalarcoS38,Approval,"LOW STATUS, HEAVY DRINKING, WARNING",1,,,
Cohen1099,History,"male, upper class, no info",0,,,
Cohen1099,History,"male, working class, no info",0,,,
Cohen1099,History,"male, upper class, student loans",0,,,
Cohen1099,History,"male, working class, student loans",0,,,
Cohen1099,History,"male, upper class, no debt",0,,,
Cohen1099,History,"male, working class, no debt",0,,,
Cohen1099,History,"female, upper class, no info",1,,,
Cohen1099,History,"female, working class, no info",1,,,
Cohen1099,History,"female, upper class, student loans",1,,,
Cohen1099,History,"female, working class, student loans",1,,,
Cohen1099,History,"female, upper class, no debt",1,,,
Cohen1099,History,"female, working class, no debt",1,,,
Cohen1099,Nursing,"male, upper class, no info",0,,,
Cohen1099,Nursing,"male, working class, no info",0,,,
Cohen1099,Nursing,"male, upper class, student loans",0,1,,
Cohen1099,Nursing,"male, working class, student loans",0,1,,
Cohen1099,Nursing,"male, upper class, no debt",0,0,,
Cohen1099,Nursing,"male, working class, no debt",0,0,,
Cohen1099,Nursing,"female, upper class, no info",1,,,
Cohen1099,Nursing,"female, working class, no info",1,,,
Cohen1099,Nursing,"female, upper class, student loans",1,1,,
Cohen1099,Nursing,"female, working class, student loans",1,1,,
Cohen1099,Nursing,"female, upper class, no debt",1,0,,
Cohen1099,Nursing,"female, working class, no debt",1,0,,
Cohen1099,Accounting,"male, upper class, no info",0,,,
Cohen1099,Accounting,"male, working class, no info",0,,,
Cohen1099,Accounting,"male, upper class, student loans",0,1,,
Cohen1099,Accounting,"male, working class, student loans",0,1,,
Cohen1099,Accounting,"male, upper class, no debt",0,0,,
Cohen1099,Accounting,"male, working class, no debt",0,0,,
Cohen1099,Accounting,"female, upper class, no info",1,,,
Cohen1099,Accounting,"female, working class, no info",1,,,
Cohen1099,Accounting,"female, upper class, student loans",1,1,,
Cohen1099,Accounting,"female, working class, student loans",1,1,,
Cohen1099,Accounting,"female, upper class, no debt",1,0,,
Cohen1099,Accounting,"female, working class, no debt",1,0,,
Melin1066,salary,“Military/Automotive”,1,,,
Melin1066,salary,“Military/Wedding”,,,1,
Melin1066,salary,“Military/Consulting”,,1,,
Melin1066,salary,“Cosmetics/Automotive”,0,,,
Melin1066,salary,“Cosmetics/Wedding”,,,0,
Melin1066,salary,“Cosmetics/Consulting”,,0,,
Melin1066,Capable,“Military/Automotive”,1,,,
Melin1066,Capable,“Military/Wedding”,,,1,
Melin1066,Capable,“Military/Consulting”,,1,,
Melin1066,Capable,“Cosmetics/Automotive”,0,,,
Melin1066,Capable,“Cosmetics/Wedding”,,,0,
